192.168.88.200:12307,194.126.16.38:53,udp,77,131,208,2024-10-29 18:42:27
192.168.88.200:9366,194.126.16.38:53,udp,77,287,364,2024-10-29 18:42:27
192.168.88.200:18008,194.126.16.38:53,udp,72,219,291,2024-10-29 18:42:27
192.168.88.200:64644,194.126.16.38:53,udp,77,131,208,2024-10-29 18:42:27
3.124.97.151:32099,82.146.184.218:25458,udp,48,0,48,2024-10-29 18:42:27
192.168.88.200:50046,194.126.16.38:53,udp,78,202,280,2024-10-29 18:42:27
192.168.88.200:41177,194.126.16.38:53,udp,80,134,214,2024-10-29 18:42:27
192.168.88.200:20860,194.126.16.38:53,udp,80,235,315,2024-10-29 18:42:27
192.168.88.200:25458,54.254.90.185:32100,udp,260,168,428,2024-10-29 18:42:27
192.168.88.200:22560,194.126.16.38:53,udp,73,221,294,2024-10-29 18:42:27
192.168.88.200:58502,194.126.16.38:53,udp,70,86,156,2024-10-29 18:42:27
192.168.88.200:25519,194.126.16.38:53,udp,80,258,338,2024-10-29 18:42:27
192.168.88.200:62092,194.126.16.38:53,udp,72,219,291,2024-10-29 18:42:27
192.168.88.200:28038,194.126.16.38:53,udp,101,210,311,2024-10-29 18:42:27
13.38.179.104:32099,82.146.184.218:25458,udp,48,0,48,2024-10-29 18:42:27
192.168.88.200:25458,3.124.97.151:32100,udp,260,168,428,2024-10-29 18:42:27
192.168.88.200:62004,194.126.16.38:53,udp,94,244,338,2024-10-29 18:42:27
192.168.88.200:46727,194.126.16.38:53,udp,95,179,274,2024-10-29 18:42:27
192.168.88.200:41769,194.126.16.38:53,udp,72,219,291,2024-10-29 18:42:27
192.168.88.200:19463,194.126.16.38:53,udp,77,164,241,2024-10-29 18:42:27
192.168.88.200:31797,194.126.16.38:53,udp,95,179,274,2024-10-29 18:42:27
192.168.88.200:61944,194.126.16.38:53,udp,92,380,472,2024-10-29 18:42:27
192.168.88.200:30899,194.126.16.38:53,udp,87,168,255,2024-10-29 18:42:27
192.168.88.200:30038,192.168.0.102:30909,udp,920,0,920,2024-10-29 18:42:27
192.168.88.200:48582,194.126.16.38:53,udp,77,131,208,2024-10-29 18:42:27
192.168.88.200:17571,194.126.16.38:53,udp,70,86,156,2024-10-29 18:42:27
192.168.88.200:56800,157.240.27.142:443,tcp,677,3866,4543,2024-10-29 18:42:27
192.168.88.200:48199,194.126.16.38:53,udp,78,169,247,2024-10-29 18:42:27
192.168.88.200:27619,194.126.16.38:53,udp,92,242,334,2024-10-29 18:42:27
192.168.88.200:62305,194.126.16.38:53,udp,75,248,323,2024-10-29 18:42:27
192.168.88.200:27084,194.126.16.38:53,udp,73,221,294,2024-10-29 18:42:27
192.168.88.200:13946,194.126.16.38:53,udp,64,96,160,2024-10-29 18:42:27
192.168.88.200:11658,194.126.16.38:53,udp,70,86,156,2024-10-29 18:42:27
192.168.88.200:62894,194.126.16.38:53,udp,80,258,338,2024-10-29 18:42:27
192.168.88.200:30038,187.63.220.114:30909,udp,920,0,920,2024-10-29 18:42:27
192.168.88.200:56801,157.240.27.142:443,tcp,625,3866,4491,2024-10-29 18:42:27
192.168.88.200:61855,157.240.27.142:443,udp,7368,0,7368,2024-10-29 18:42:27
192.168.88.200:43817,194.126.16.38:53,udp,73,221,294,2024-10-29 18:42:27
192.168.88.200:64491,194.126.16.38:53,udp,70,86,156,2024-10-29 18:42:27
192.168.88.200:22134,194.126.16.38:53,udp,90,297,387,2024-10-29 18:42:27
192.168.88.200:29780,194.126.16.38:53,udp,78,202,280,2024-10-29 18:42:27
192.168.88.200:51679,194.126.16.38:53,udp,80,134,214,2024-10-29 18:42:27
192.168.88.200:24117,194.126.16.38:53,udp,76,162,238,2024-10-29 18:42:27
192.168.88.200:6323,194.126.16.38:53,udp,77,259,336,2024-10-29 18:42:27
192.168.88.200:29185,194.126.16.38:53,udp,72,219,291,2024-10-29 18:42:27
192.168.88.200:62970,194.126.16.38:53,udp,77,287,364,2024-10-29 18:42:27
192.168.88.200:1993,194.126.16.38:53,udp,75,248,323,2024-10-29 18:42:27
192.168.88.200:46613,194.126.16.38:53,udp,70,86,156,2024-10-29 18:42:27
192.168.88.200:44253,194.126.16.38:53,udp,77,229,306,2024-10-29 18:42:27
192.168.88.200:41435,194.126.16.38:53,udp,89,105,194,2024-10-29 18:42:27
187.63.220.114:1025,82.146.184.218:30038,udp,540,0,540,2024-10-29 18:42:27
192.168.88.200:7335,194.126.16.38:53,udp,77,256,333,2024-10-29 18:42:27
192.168.88.200:54769,194.126.16.38:53,udp,65,97,162,2024-10-29 18:42:27
192.168.88.200:30671,194.126.16.38:53,udp,86,102,188,2024-10-29 18:42:27
192.168.88.200:61144,157.240.27.55:5222,tcp,1847,2658,4505,2024-10-29 18:42:27
192.168.88.200:30286,194.126.16.38:53,udp,73,221,294,2024-10-29 18:42:27
192.168.88.200:58832,194.126.16.38:53,udp,160,516,676,2024-10-29 18:42:27
192.168.88.200:55369,194.126.16.38:53,udp,78,267,345,2024-10-29 18:42:27
192.168.88.200:12860,194.126.16.38:53,udp,80,258,338,2024-10-29 18:42:27
192.168.88.200:55608,194.126.16.38:53,udp,70,86,156,2024-10-29 18:42:27
192.168.88.200:40696,194.126.16.38:53,udp,91,379,470,2024-10-29 18:42:27
192.168.88.200:56802,157.240.27.142:443,tcp,625,3868,4493,2024-10-29 18:42:27
